序号,关联类型,表名,表别名,关联条件
1,FROM,DUAL,,
2,JOIN,LC00059999.JSPZK,k,l.jspzfl_pznm = k.jspzk_pznm
3,JOIN,LC00059999.JSPZFL,fl,l.jspzfl_pznm = fl.jspzfl_pznm AND fl.jspzfl_flnm <> l.jspzfl_flnm
