序号,关联类型,表名,表别名,关联条件
1,FROM,LC00059999.CORP_LOAN_CONT_BASE,B,
2,JOIN,LC00059999.CORP_LOAN_DUE_BILL,T,B.CONT_ID = T.CONT_ID
3,JOIN,DW_CUST_CORP_LE_F_BK,I,I.CUST_CODE = T.CUST_CODE AND I.INTERFACE_TIME = '<!jsrq!>' AND NOT I.CUST_NAME LIKE '%小计'
4,JOIN,LC00059999.FNLS_REGIST,F,F.JJBH = T.DUE_BILL_CODE AND F.KHBH = I.CUST_CODE
5,JOIN,RJ_DK,FR,FR.JJBH = T.DUE_BILL_CODE AND FR.KHBH = I.CUST_CODE
6,JOIN,RATE,R,T.DUE_BILL_ID = R.DUE_BILL_ID
7,JOIN,LC00059999.FNLS_STDBOOK,S,S.DUE_BILL_ID = T.DUE_BILL_ID AND S.BZNS_DATE BETWEEN '<!ksrq!>' AND '<!jsrq!>'
8,JOIN,DWBG,BG,BG.DUE_BILL_ID = T.DUE_BILL_ID
