序号,关联类型,表名,表别名,关联条件
1,FROM,LC00059999.ST_PROTOCOL,ST,
2,JOIN,DW_CUST_CORP_LE_F_BK,INFO,ST.CUST_CODE = INFO.CUST_CODE AND INFO.INTERFACE_TIME = '<!jsrq!>' AND NOT INFO.CUST_NAME LIKE '%小计'
3,JOIN,TMP,,ST.PROTOCOL_ID = TMP.PROTO_ID AND TMP.DRAW_DATE BETWEEN '<!ksrq!>' AND '<!jsrq!>'
