序号,关联类型,表名,表别名,关联条件
1,FROM,LC00059999.JSZHYEB,y,
2,JOIN,LC00019999.DWD_JSZHZD_HIS,z,y.jszhyeb_bh = z.jszhzd_bh AND z.start_date <= '<!jsrq!>' AND z.end_date > '<!jsrq!>'
3,JOIN,LC00019999.DW_CUST_CORP_LE_F_BK,i,z.jszhzd_dwbh = i.cust_code AND i.INTERFACE_TIME = '<!jsrq!>' AND NOT i.cust_name LIKE '%小计'
4,JOIN,LC00059999.LSWBZD,d,y.jszhyeb_bz = d.f_wbbh
5,JOIN,LC00059999.ST_INTEREST_RATE_CHANGE,c,c.bus_id = z.jszhzd_bh AND c.status <> '4'
